POS ZIP,POS Name
1000,2
1030,1
1040,1
1050,2
1070,3
1082,1
1090,1
1150,1
1160,1
1180,2
1200,1
1210,1
1300,2
1310,1
1330,1
1340,1
1350,1
1360,1
1370,2
1380,1
1400,2
1410,1
1420,2
1430,1
1470,1
1500,2
1540,2
1560,1
1570,2
1600,1
1640,2
1652,1
1700,1
1703,1
1730,1
1731,1
1740,2
1750,2
1755,1
1760,1
1770,1
1785,1
1790,1
1820,1
1840,1
1850,2
1853,1
1861,1
1880,1
1910,1
1930,1
1950,1
1981,1
2000,1
2018,1
2040,2
2060,1
2070,2
2100,1
2160,1
2170,2
2180,1
2220,2
2221,1
2222,1
2223,1
2230,2
2235,1
2240,2
2250,1
2260,2
2270,2
2275,2
2290,1
2300,1
2320,2
2321,1
2330,2
2340,1
2350,1
2370,1
2380,1
2390,1
2400,2
2430,1
2440,1
2450,1
2460,3
2470,1
2480,1
2490,1
2500,3
2520,2
2530,1
2550,2
2560,3
2570,3
2580,2
2590,1
2600,2
2610,1
2620,2
2630,2
2640,1
2650,1
2800,5
2811,1
2820,1
2830,2
2840,2
2850,1
2860,1
2861,1
2870,1
2880,2
2890,1
2900,2
2910,2
2920,2
2930,1
2950,2
2960,4
2970,3
2980,4
2990,3
3000,1
3001,1
3012,1
3018,1
3060,1
3078,1
3080,2
3090,1
3111,1
3120,1
3128,1
3150,2
3200,2
3202,1
3290,2
3293,1
3300,2
3350,1
3360,1
3370,2
3380,1
3400,1
3470,1
3473,1
3500,2
3540,1
3545,1
3550,1
3560,2
3583,1
3590,1
3600,1
3620,1
3621,1
3630,2
3650,1
3680,2
3700,1
3740,4
3770,1
3800,2
3840,2
3870,1
3890,1
3910,2
3920,3
3930,1
3940,1
3945,1
3950,1
3960,1
3970,2
3980,1
3990,1
4000,2
4020,1
4052,1
4053,1
4100,3
4120,1
4190,1
4210,1
4219,1
4280,2
4300,1
4347,1
4420,1
4432,1
4500,1
4537,1
4550,1
4560,1
4600,2
4608,1
4650,1
4651,1
4670,1
4700,2
4710,1
4720,1
4731,1
4750,1
4761,1
4780,2
4800,1
4802,1
4831,1
4860,1
4880,1
4900,1
4920,1
4960,2
4970,1
5020,2
5022,1
5030,2
5060,2
5070,1
5100,3
5101,1
5300,2
5310,1
5500,1
5555,1
5570,1
5580,1
5590,1
5600,1
5620,1
5640,1
5650,1
5660,1
6000,1
6001,1
6120,2
6180,1
6220,1
6238,1
6460,1
6500,1
6534,1
6560,1
6600,2
6640,1
6660,1
6690,1
6700,2
6740,1
6750,1
6760,1
6791,1
6800,1
6810,1
6840,1
6850,2
6870,1
6880,1
6900,1
6940,2
6970,1
6980,1
7000,1
7022,1
7040,1
7060,1
7090,2
7100,1
7110,1
7130,1
7134,1
7190,1
7350,1
7390,1
7500,2
7520,1
7534,1
7640,1
7700,1
7711,1
7743,1
7780,1
7800,2
7850,1
7860,1
7864,1
7870,1
7880,1
7900,1
7911,2
8000,2
8020,3
8200,2
8210,2
8300,3
8301,2
8310,1
8340,1
8370,1
8400,4
8420,1
8430,1
8434,1
8450,2
8460,1
8470,2
8480,2
8490,3
8500,2
8501,2
8511,1
8520,1
8530,1
8531,1
8540,2
8550,1
8551,1
8552,1
8560,2
8570,2
8580,1
8587,1
8600,3
8610,3
8620,2
8630,2
8640,1
8647,1
8650,5
8670,1
8680,2
8691,1
8700,4
8710,1
8720,3
8730,4
8750,1
8755,2
8760,2
8770,1
8780,2
8790,3
8793,1
8800,6
8810,1
8820,3
8830,2
8840,3
8850,1
8851,1
8860,1
8870,1
8880,2
8890,4
8900,2
8904,2
8940,2
8953,1
8970,2
8972,1
8980,1
9000,5
9031,1
9041,1
9042,1
9050,1
9051,2
9052,1
9060,1
9080,2
9100,3
9111,3
9120,5
9130,1
9140,2
9150,4
9160,1
9170,3
9190,3
9200,2
9220,3
9230,3
9240,1
9250,1
9255,2
9260,1
9270,1
9280,2
9300,3
9308,2
9340,1
9400,3
9402,1
9420,1
9451,1
9473,1
9500,1
9506,1
9520,2
9550,4
9600,1
9620,2
9660,2
9667,1
9690,2
9700,3
9750,3
9770,1
9800,6
9810,2
9820,1
9840,1
9850,4
9860,1
9870,2
9880,5
9881,1
9890,2
9900,3
9910,2
9920,1
9930,2
9940,3
9950,2
9960,1
9968,2
9970,1
9980,2
9990,4
9991,1
